checked_at,AS286,B61573,B62074,UA1403,UA1981,UA2096,UA2127,UA2434,UA2445,UA2679,UA2692,UA2743
2026-08-18 16:05:45,218.00,169.00,199.00,169.00,213.00,302.00,202.00,169.00,169.00,224.00,273.00,169.00
2026-08-18 16:15:22,218.00,169.00,199.00,169.00,213.00,302.00,202.00,169.00,169.00,224.00,273.00,169.00
2026-08-18 16:25:23,218.00,169.00,199.00,169.00,213.00,302.00,202.00,169.00,169.00,224.00,273.00,169.00
2026-08-18 16:33:35,218.00,169.00,199.00,169.00,213.00,302.00,202.00,169.00,169.00,224.00,273.00,169.00
2026-08-18 16:39:51,218.00,169.00,199.00,169.00,213.00,302.00,202.00,169.00,169.00,224.00,273.00,169.00
2026-08-18 16:46:11,218.00,169.00,199.00,169.00,213.00,302.00,202.00,169.00,169.00,224.00,273.00,169.00
2026-08-18 16:55:40,194.00,169.00,199.00,169.00,213.00,302.00,202.00,169.00,169.00,224.00,273.00,169.00
2026-08-18 17:03:52,194.00,169.00,199.00,169.00,213.00,302.00,202.00,169.00,169.00,224.00,273.00,169.00
2026-08-18 17:09:55,194.00,169.00,199.00,169.00,213.00,324.00,202.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 17:15:58,194.00,169.00,199.00,169.00,213.00,324.00,202.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 17:25:40,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 17:35:26,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 17:45:28,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 17:55:09,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 18:05:36,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 18:15:25,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 18:25:24,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 18:35:35,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 18:45:37,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 18:55:29,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 19:05:39,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 19:15:35,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 19:25:40,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 19:35:44,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 19:45:29,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 19:55:32,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 20:05:41,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 20:15:49,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 20:25:58,194.00,169.00,199.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 20:35:53,194.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,169.00
2026-08-18 20:45:31,194.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 20:55:20,194.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 21:05:55,194.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 21:15:22,194.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 21:25:33,194.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 21:35:44,194.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 21:45:38,194.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 21:55:35,194.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 22:05:40,194.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 22:15:34,194.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 22:25:23,194.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 22:35:40,194.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 22:45:59,194.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 22:55:38,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 23:05:49,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 23:15:26,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 23:26:12,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 23:35:47,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 23:45:42,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-18 23:55:38,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-19 00:05:38,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-19 00:15:32,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-19 00:25:37,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-19 00:35:46,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-19 00:45:38,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-19 00:55:39,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-19 01:05:55,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-19 01:15:32,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-19 01:25:46,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-19 01:35:47,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-19 01:45:30,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-19 01:55:41,214.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-19 02:05:51,218.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-19 02:16:02,218.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-19 02:26:06,218.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-19 02:35:43,218.00,169.00,194.00,169.00,213.00,324.00,224.00,169.00,169.00,213.00,273.00,201.00
2026-08-19 02:46:07,218.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 02:55:58,218.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 03:05:55,218.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 03:15:50,218.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 03:25:47,218.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 03:36:01,218.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 03:45:52,218.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 03:55:51,218.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 04:06:00,218.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 04:15:46,218.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 04:25:53,218.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 04:36:07,218.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 04:45:38,218.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 04:55:53,218.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 05:05:41,220.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 05:15:51,220.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 05:25:35,220.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 05:35:44,220.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 05:45:35,220.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 05:55:46,220.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 06:05:44,220.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 06:15:40,220.00,169.00,194.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 06:25:41,220.00,169.00,239.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 06:35:45,220.00,169.00,239.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 06:45:41,220.00,169.00,239.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 06:55:45,220.00,169.00,239.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 07:05:47,220.00,169.00,239.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 07:15:55,224.00,169.00,239.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 07:25:53,224.00,169.00,239.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 07:35:50,224.00,169.00,239.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 07:45:39,224.00,169.00,239.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 07:55:51,224.00,169.00,239.00,169.00,213.00,315.00,224.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 08:05:54,224.00,169.00,239.00,169.00,213.00,315.00,169.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 08:15:47,224.00,169.00,239.00,169.00,213.00,315.00,169.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 08:25:39,224.00,169.00,239.00,169.00,213.00,315.00,169.00,169.00,169.00,213.00,268.00,205.00
2026-08-19 08:35:56,224.00,169.00,239.00,169.00,213.00,315.00,169.00,169.00,169.00,169.00,268.00,205.00
2026-08-19 08:45:45,224.00,169.00,239.00,169.00,169.00,315.00,169.00,169.00,169.00,169.00,268.00,205.00
2026-08-19 08:55:51,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,205.00
2026-08-19 09:05:56,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,205.00
2026-08-19 09:15:37,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 09:25:45,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 09:35:46,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 09:45:43,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 09:55:42,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 10:05:54,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 10:15:45,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 10:25:35,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 10:35:46,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 10:45:43,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 10:55:36,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 11:05:47,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 11:15:42,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 11:25:56,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 11:35:41,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 11:45:36,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 11:55:53,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 12:05:43,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 12:15:48,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 12:26:01,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 12:36:10,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 12:45:57,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 12:55:35,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 13:05:54,224.00,169.00,239.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 13:16:05,224.00,169.00,194.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 13:25:55,224.00,169.00,194.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 13:35:58,224.00,169.00,194.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 13:45:55,224.00,169.00,194.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 13:55:54,224.00,169.00,194.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 14:06:04,224.00,169.00,194.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 14:15:53,224.00,169.00,194.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 14:25:55,224.00,169.00,194.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 14:35:50,224.00,169.00,194.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 14:45:58,224.00,169.00,194.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 14:55:45,224.00,169.00,194.00,169.00,169.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 15:06:06,224.00,169.00,194.00,169.00,205.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 15:16:04,224.00,169.00,194.00,169.00,205.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 15:25:53,224.00,169.00,194.00,169.00,234.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 15:36:29,224.00,169.00,194.00,169.00,234.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 15:46:04,224.00,169.00,194.00,169.00,234.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 15:56:00,224.00,169.00,194.00,169.00,234.00,274.00,169.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 16:06:06,224.00,169.00,194.00,169.00,234.00,274.00,169.00,169.00,169.00,169.00,274.00,169.00
2026-08-19 16:15:55,224.00,169.00,194.00,169.00,234.00,274.00,169.00,169.00,169.00,169.00,274.00,169.00
2026-08-19 16:26:03,224.00,169.00,194.00,169.00,234.00,274.00,169.00,169.00,169.00,169.00,274.00,169.00
2026-08-19 16:36:05,224.00,169.00,194.00,169.00,234.00,274.00,169.00,169.00,169.00,169.00,274.00,169.00
2026-08-19 16:45:53,224.00,169.00,194.00,169.00,234.00,274.00,169.00,169.00,169.00,169.00,274.00,169.00
2026-08-19 16:56:20,224.00,169.00,194.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 17:06:09,224.00,169.00,194.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 17:16:01,224.00,169.00,194.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 17:26:00,224.00,169.00,194.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 17:36:14,224.00,169.00,194.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 17:46:07,224.00,169.00,194.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 17:55:59,224.00,169.00,194.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 18:06:13,224.00,169.00,169.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 18:15:59,224.00,169.00,169.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 18:26:03,224.00,169.00,169.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 18:35:58,224.00,169.00,169.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 18:46:02,224.00,169.00,169.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 18:55:58,224.00,169.00,169.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 19:05:58,224.00,169.00,169.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 19:16:00,224.00,169.00,169.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 19:26:04,224.00,169.00,169.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 19:36:13,224.00,169.00,169.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 19:45:57,224.00,169.00,169.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 19:55:57,224.00,169.00,169.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 20:06:05,224.00,169.00,169.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 20:16:16,224.00,169.00,169.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 20:25:55,224.00,169.00,169.00,169.00,234.00,274.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 20:36:19,224.00,169.00,169.00,169.00,229.00,264.00,205.00,169.00,169.00,169.00,248.00,169.00
2026-08-19 20:46:06,224.00,169.00,169.00,169.00,229.00,264.00,205.00,169.00,169.00,169.00,268.00,169.00
2026-08-19 20:56:18,224.00,169.00,169.00,169.00,229.00,264.00,205.00,169.00,169.00,169.00,248.00,169.00
2026-08-19 21:06:23,224.00,169.00,169.00,169.00,229.00,264.00,205.00,169.00,169.00,169.00,248.00,169.00
2026-08-19 21:15:54,224.00,169.00,169.00,169.00,229.00,264.00,205.00,169.00,169.00,169.00,248.00,169.00
2026-08-19 21:25:51,224.00,169.00,169.00,169.00,229.00,264.00,205.00,169.00,169.00,169.00,248.00,169.00
2026-08-19 21:36:09,224.00,169.00,169.00,169.00,229.00,264.00,205.00,169.00,169.00,169.00,248.00,169.00
2026-08-19 21:46:10,224.00,169.00,169.00,169.00,229.00,264.00,205.00,169.00,169.00,169.00,248.00,169.00
2026-08-19 21:56:01,224.00,169.00,169.00,169.00,229.00,264.00,205.00,169.00,169.00,169.00,248.00,169.00
2026-08-19 22:06:18,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,248.00,169.00
2026-08-19 22:15:55,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,248.00,169.00
2026-08-19 22:26:00,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,248.00,169.00
2026-08-19 22:36:13,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,248.00,169.00
2026-08-19 22:45:57,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,248.00,169.00
2026-08-19 22:55:56,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,248.00,169.00
2026-08-19 23:06:01,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,254.00,169.00
2026-08-19 23:16:17,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,254.00,169.00
2026-08-19 23:25:54,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,254.00,169.00
2026-08-19 23:36:10,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-19 23:45:51,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-19 23:56:07,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 00:06:32,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 00:16:06,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 00:26:16,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 00:36:02,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 00:46:02,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 00:56:06,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 01:06:19,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 01:16:23,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 01:26:08,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 01:36:01,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 01:45:57,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 01:56:07,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 02:06:31,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 02:16:32,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 02:26:09,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 02:36:22,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 02:46:14,224.00,169.00,169.00,169.00,229.00,315.00,205.00,169.00,169.00,169.00,264.00,169.00
2026-08-20 02:56:00,224.00,169.00,169.00,169.00,229.00,316.00,204.00,169.00,169.00,169.00,267.00,169.00
2026-08-20 03:06:14,224.00,169.00,169.00,169.00,229.00,316.00,204.00,169.00,169.00,169.00,267.00,169.00
2026-08-20 03:16:08,224.00,169.00,169.00,169.00,229.00,316.00,204.00,169.00,169.00,169.00,267.00,169.00
2026-08-20 03:25:51,224.00,169.00,169.00,169.00,229.00,316.00,204.00,169.00,169.00,169.00,267.00,169.00
2026-08-20 03:36:20,224.00,169.00,169.00,169.00,229.00,316.00,204.00,169.00,169.00,169.00,267.00,169.00
2026-08-20 03:46:09,224.00,169.00,169.00,169.00,229.00,316.00,204.00,169.00,169.00,169.00,267.00,169.00
2026-08-20 03:56:00,224.00,169.00,169.00,169.00,229.00,316.00,204.00,169.00,169.00,169.00,267.00,169.00
2026-08-20 04:06:20,224.00,169.00,169.00,169.00,229.00,316.00,204.00,169.00,169.00,169.00,267.00,169.00
2026-08-20 04:16:07,224.00,169.00,169.00,169.00,229.00,316.00,204.00,169.00,169.00,169.00,267.00,169.00
2026-08-20 04:26:15,224.00,169.00,169.00,169.00,229.00,316.00,204.00,169.00,169.00,169.00,267.00,169.00
2026-08-20 04:36:03,224.00,169.00,169.00,169.00,229.00,316.00,204.00,169.00,169.00,169.00,267.00,169.00
2026-08-20 04:46:08,224.00,169.00,169.00,169.00,229.00,316.00,204.00,169.00,169.00,169.00,267.00,169.00
2026-08-20 04:56:07,224.00,169.00,169.00,169.00,229.00,316.00,204.00,169.00,169.00,169.00,267.00,169.00
2026-08-20 05:06:10,224.00,169.00,169.00,169.00,229.00,316.00,204.00,169.00,169.00,169.00,267.00,169.00
2026-08-20 05:16:01,224.00,169.00,169.00,169.00,229.00,316.00,204.00,169.00,169.00,169.00,267.00,169.00
2026-08-20 05:26:04,224.00,169.00,169.00,169.00,229.00,316.00,204.00,169.00,169.00,169.00,267.00,169.00
2026-08-20 05:36:11,224.00,169.00,169.00,169.00,229.00,316.00,204.00,169.00,169.00,169.00,267.00,169.00
